Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,color
7,10/10/1965 23:45,norwalk,ct,us,disk,1200,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999,41.1175000,-73.4083333,orange
11,10/10/1968 19:00,brevard,nc,us,fireball,180,3 minutes,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/2008,35.2333333,-82.7344444,red
12,10/10/1970 16:00,bellmore,ny,us,disk,1800,30 min.,silver disc seen by family and neighbors,5/11/2000,40.6686111,-73.5275,silver
14,10/10/1971 21:00,lexington,nc,us,oval,30,30 seconds,green oval shaped light over my local church&#44power lines down..,2/14/2010,35.8238889,-80.2536111,green
17,10/10/1973 19:00,niantic,ct,us,disk,1800,20-30 min,Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,9/24/2003,41.3252778,-72.1936111,green
34,10/10/1980 23:30,manchester,nh,us,light,300,3 to 5 min,A red glowing sphere stopped and watched me.,11/21/2010,42.9955556,-71.4552778,red
39,10/10/1985 20:25,leeds (uk/england),,gb,triangle,600,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333,black
40,10/10/1986 20:00,holmes/pawling,ny,,chevron,180,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound,10/8/2007,41.523427,-73.646795,white
41,10/10/1988 18:00,milwaukee,wi,us,triangle,600,10 minutes,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,8/7/2007,43.0388889,-87.9063889,black
57,10/10/1993 23:00,carthage,tn,us,other,60,less than 1 min,1 object with green and red lights,3/21/2003,36.2522222,-85.9516667,green
62,10/10/1995 19:45,milwaukee,wi,us,,120,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33,11/2/1999,43.0388889,-87.9063889,blue
72,10/10/1998 02:30,hollywood,ca,us,changing,300,5 minutes,I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a,11/1/1998,34.0983333,-118.3258333,white
73,10/10/1998 03:30,phoenix (north part),az,us,fireball,15,10 to 15 sec,bright green moving north to north east. it was bright green and kinda clear. quite fast too.,2/16/1999,33.4483333,-112.0733333,green
80,10/10/1998 22:30,st. john&#39s (canada),nf,ca,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667,yellow
82,10/10/1999 00:01,martinez,ca,us,changing,3600,1 hour,Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de,10/19/1999,38.0194444,-122.1330556,red
91,10/10/1999 22:30,elgin,or,us,chevron,240,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,10/19/1999,45.5650000,-117.9163889,orange
102,10/10/2001 03:00,rockwell city,ia,us,triangle,240,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,7/1/2002,42.3952778,-94.6336111,red
104,10/10/2001 20:10,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,green
106,10/10/2001 21:15,ottumwa,ia,us,rectangle,300,3-5 minutes,We saw a square object at night&#44  which had 2 blue &amp; 2 red lights at corners&#44 hovering in sky above us.,11/20/2001,41.0041667,-92.3736111,blue
114,10/10/2002 19:45,victoria (canada),bc,ca,unknown,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483333,white
115,10/10/2002 20:30,cincinnati,oh,us,other,1800,30 minutes,Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10.,10/15/2002,39.1619444,-84.4569444,blue
119,10/10/2003 18:00,indianapolis,in,us,sphere,1800,30 minutes,Sphere shape object with flashing bright white lights,10/15/2003,39.7683333,-86.1580556,white
122,10/10/2003 20:25,temperance,mi,us,oval,18000,over 5 hours,pulsating green white and red object in the northwest sky at 45degrees,10/31/2003,41.7791667,-83.5688889,green
128,10/10/2004 03:30,worthington st. forest,nj,,other,2700,45 min,witnessed a large object and an intense red light that illumiated the object.,10/27/2004,40.058324,-74.405661,red
130,10/10/2004 04:18,terre haute,in,us,sphere,5,5 seconds,silently&#44 it came over my head from behind; as I was laying on my back. About the size of a thumbnail at arms length&#44 was a lite white,10/27/2004,39.4666667,-87.4138889,white
133,10/10/2004 14:00,morgantown,wv,us,circle,10,10 sec,Solid round silver ball passing over at about 3000MSL.,5/24/2005,39.6294444,-79.9561111,silver
143,10/10/2005 07:40,seattle,wa,us,other,60,one + minutes,round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane.,10/11/2005,47.6063889,-122.3308333,white
147,10/10/2005 20:00,loretto,pa,us,triangle,300,5 minutes,Dull red flash&#44 Triangular ship&#44 Vocal Noises,10/30/2006,40.5030556,-78.6305556,red
150,10/10/2005 21:30,north miami beach,fl,us,other,3600,60 min,a manta ray shaped object with orange and yellow lights flashing in,10/11/2005,25.9327778,-80.1627778,orange
153,10/10/2005 23:07,brainerd,mn,us,disk,300,5 min.,A big lighted up silver saucer.,10/30/2006,46.3580556,-94.2005556,silver
155,10/10/2006 05:00,san francisco,ca,us,triangle,600,10 minutes,black triangles were seen flying across the surface of the full moon,10/30/2006,37.7750000,-122.4183333,black
159,10/10/2006 19:00,unsure,ar,,fireball,2,a few seconds,Extreme sound with trails and orange red blue hues to it.  The trails were bright bright white.,12/7/2006,35.20105,-91.831833,orange
162,10/10/2006 22:40,waycross,ga,us,light,120,2 minutes,Redish orange light viewed from Waycross &#44Ga. Moving Northwest and suddenly just goes out.,10/30/2006,31.2133333,-82.3541667,orange
163,10/10/2006 22:50,wolfforth,tx,us,disk,300,5 min,Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night.,10/30/2006,33.5058333,-102.0086111,white
169,10/10/2007 06:00,indio,ca,us,oval,600,10 min.,Observed 2 white clouds of identical shape in clear blue shy with object becoming visible beneath one cloud.,6/9/2009,33.7205556,-116.2147222,white
176,10/10/2007 20:55,vero beach,fl,us,unknown,30,30 seconds,Shooting star without red globe burn-out or descent maintains steady Southerly trajectory.  ((NUFORC Note:  Missile launch??  PD)),11/28/2007,27.6383333,-80.3975,red
196,10/10/2008 20:00,philadelphia,pa,us,oval,60,1 minute,Silent&#44 oval&#44 bright white craft in yard.,7/4/2012,39.9522222,-75.1641667,white
199,10/10/2008 21:30,cincinnati,oh,us,oval,900,15 minutes,12 ovel objects flying east to west orange and red at a slow speed then vanished,10/31/2008,39.1619444,-84.4569444,orange
202,10/10/2008 23:15,coldwater,oh,us,sphere,60,1 minute,spherical in shape&#44 orange flames coming from the bottom&#44 completely silent&#44 moved fast and also hovered.,10/31/2008,40.4797222,-84.6283333,orange
210,10/10/2009 23:00,michigan city,in,us,changing,900,15 minutes,black object that seemed to impode into a sphere and vanish&#44 only to reappear in the same shape and move location,12/12/2009,41.7075000,-86.895,black
211,10/10/2009 23:23,cupertino,ca,us,light,180,3 minutes,Bright red light object made random moves horizontally and floated for a while and then went up vertically.,12/12/2009,37.3230556,-122.0311111,red
214,10/10/2010 03:00,euclid,oh,us,circle,180,3 minutes,2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie,11/21/2010,41.5930556,-81.5269444,red
215,10/10/2010 08:30,starr,sc,us,formation,600,5-10 mins,Strange orange lights in the night sky,11/21/2010,34.3769444,-82.6958333,orange
218,10/10/2010 15:00,san francisco airport,ca,,triangle,300,5 min.,White or light grey colored and leaving red/orange contrails on a bright blue sky.,9/30/2013,37.615223,-122.389979,blue
222,10/10/2010 20:00,san angelo,tx,us,oval,60,1 minute,I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous,11/21/2010,31.4636111,-100.4366667,orange
224,10/10/2010 20:45,sterling,il,us,cylinder,600,10min,It had rows of white lights with red lights pulsating in between them,11/21/2010,41.7886111,-89.6961111,white
225,10/10/2010 21:00,everett,wa,us,other,30,30 seconds,crown shaped object with two orange lights over everett wa,11/21/2010,47.9791667,-122.2008333,orange
230,10/10/2011 00:00,troy,ny,us,triangle,7200,2 hours,Red&#44 green &amp; orange blinking triangle formation.  ((NUFORC Note:  Probable sighting of a twinkling star&#44 possibly Sirius.  PD)),10/10/2011,42.7283333,-73.6922222,green
238,10/10/2011 19:00,mechanicsville,va,us,light,300,5 minutes,Three orange lights flying in unison,10/19/2011,37.6086111,-77.3736111,orange
242,10/10/2011 21:00,lakewood,oh,us,fireball,60,1 minute,Orange light flies overhead and turns black as it passed silently.,12/12/2011,41.4819444,-81.7983333,black
248,10/10/2012 18:56,san diego,ca,us,sphere,240,4 minutes,Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD)),10/30/2012,32.7152778,-117.1563889,white
249,10/10/2012 19:09,sterling heights,mi,us,oval,120,1-2 minutes,A black unknown craft is seen in the sky over Sterling Hts. Michigan,10/30/2012,42.5802778,-83.0302778,black
251,10/10/2012 19:45,syracuse,ny,us,circle,240,4 minutes,Bright orange circles going thru the sky in the same direction. Some were closer to each other.,10/30/2012,43.0480556,-76.1477778,orange
263,10/10/2012 21:00,rochester,wa,us,light,600,10 minutes,Fleet of red UFO&#39s emerging from Mt. Rainier.,11/19/2012,46.8219444,-123.095,red
265,10/10/2012 23:20,rancho mirage,ca,us,rectangle,5,5 seconds,Flying red object over Rancho Mirage&#44 ca,10/30/2012,33.7397222,-116.4119444,red
271,10/10/2013 19:00,rittman,oh,us,light,60,1 minute,Fast moving white light.,10/14/2013,40.9780556,-81.7822222,white
272,10/10/2013 19:15,harvey station (canada),nb,ca,light,120,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67.0,orange
278,10/10/2013 20:30,savage,mn,us,circle,60,1 minute,I saw a sphere shaped object flying east to west moving faster than any conventional aircraft was white to orange in color as it reache,10/14/2013,44.7791667,-93.3361111,white
279,10/10/2013 20:32,warren,mi,us,sphere,45,45 seconds,Three glowing reddish-orange spheres changing to white lights,10/14/2013,42.4775000,-83.0277778,white
280,10/10/2013 20:35,canton,mi,us,triangle,180,3 minutes,Black triangle aircraft with white lights on each point&#44 completely silent&#44 seen flying low SW to NE.,10/14/2013,42.3086111,-83.4822222,white
282,10/10/2013 21:30,hudson,nh,us,light,1,1 second,Very white bright light moving fast inside clouds.,10/14/2013,42.7647222,-71.4402778,white
287,10/11/1987 23:59,otto,mo,us,fireball,60,60 seconds,bright blue ball of light.,8/19/2000,38.3708333,-90.5002778,blue
292,10/11/1994 04:00,riverside,ca,us,chevron,4,4 seconds,Double white lights in chevron shape flying north to south about the size of the constellation of the Pleades&#44 covered half the sky in,1/28/1999,33.9533333,-117.3952778,white
293,10/11/1995 18:30,new york city (brooklyn),ny,us,,720,12 min.,Young man&#44 mother witness watch strange red obj. 45 deg. above horizon w/ binocular.  Obj. suddenly fades&#44 disappears from sight.,11/2/1999,40.7141667,-74.0063889,red
300,10/11/1998 20:30,highland,in,us,sphere,14400,4 hrs +,Spherical.  Red&#44 yellow&#44 and green lights.  Below clouds&#44 yet very high up.,11/1/1998,39.7944444,-87.3958333,green
301,10/11/1998 22:40,bar harbor (bar island crossover),me,us,sphere,30,30 seconds,My friend Steven and I were crossing over to Bar Island at low tide when we witnesses a green spherical object crossing the sky at a gr,11/1/1998,44.3875000,-68.2044444,green
302,10/11/1998 22:45,elk grove,ca,us,fireball,4,4 seconds,Greenish blue fireball streaking across horizon,11/1/1998,38.4088889,-121.3705556,blue
305,10/11/1999 06:10,somerset?,wi,,unknown,120,2 minutes,Huge pulsating red light over I-94.  High overhead&#44 moving east,10/19/1999,45.124411,-92.673537,red
309,10/11/1999 20:15,portville,ny,us,oval,30,30 seconds,The object was just below the tree line. The object was light up by a yellowish light with blue lights.You could see the windows in it,10/19/1999,42.0386111,-78.3411111,blue
320,10/11/1999 22:30,addison (i-355 and us 20 (lake st.),il,us,disk,600,10 min,Saucer shaped object&#44with rows of red lights on bottom side; one white lighttop and bottom,11/9/1999,41.9316667,-87.9888889,red
323,10/11/2000 22:00,elverta,ca,us,light,30,hours,White starlike lights in sky that blink red and blue and move erratically over Sacramento region.,12/2/2000,38.7138889,-121.4616667,red
327,10/11/2001 02:15,fairbanks,ak,us,other,1800,30 minutes,It looked like a star but it would move and after a few seconds a red aura would appear around it and emit objects.,10/12/2001,64.8377778,-147.7163889,red
330,10/11/2001 20:35,grass valley,ca,us,triangle,60,1 minute,Three bright white lights in a row&#44 in the sky.,10/12/2001,39.2191667,-121.06,white
332,10/11/2002 06:17,springfield,mo,us,fireball,6,6 seconds,bright green triangular object throwing sparks traveling extremely fast,10/15/2002,37.2152778,-93.2980556,green
333,10/11/2002 13:25,reno,nv,us,sphere,600,10 min,A small white sphere which stopped&#44 hovered for 5 minutes&#44 then took off and disapeared.,10/15/2002,39.5297222,-119.8127778,white
339,10/11/2003 03:00,truckee,ca,us,sphere,3,2-3 secs,Round very light blue object goes behind a small mountain,10/15/2003,39.3280556,-120.1822222,blue
346,10/11/2003 22:40,independence,mo,us,chevron,600,10 minutes,UFO with black exhaust sighted in Independence&#44 MO Oct. 11&#44 2003,11/8/2003,39.0911111,-94.4152778,black
352,10/11/2004 10:00,nuevo laredo (mexico),,,light,1200,20min,While I was driving I stopped at a traffic light and when I turned to wait for the green light&#44 I saw 11 bright lights in the sky,7/16/2006,27.477936,-99.549573,green
356,10/11/2004 19:00,strongsvilles,oh,,light,5,5 seconds,neon green light or object traveled eastward then fell out of view&#44 no aircraft nearby,10/27/2004,41.314497,-81.83569,green
371,10/11/2005 19:45,mobile,al,us,light,1800,30 minutes?,((NUFORC Note:  Possible sighting of Mars.  PD))  Massive brilliant white light that just hung in the Southern sky.,10/20/2005,30.6941667,-88.0430556,white
372,10/11/2005 21:00,little ferry,nj,us,oval,300,5 min,oval sahped  the whole thing was lit up with a very bright white light&#44 huvered over the trees&#44disappeared,12/16/2005,40.8527778,-74.0425,white
375,10/11/2006 01:25,nashville,tn,us,disk,13,13 sec,Circle shaped solid white object flying through clouds.,10/30/2006,36.1658333,-86.7844444,white
377,10/11/2006 05:40,york,me,,disk,30,30 seconds,Illuminated but not shiny disc  with three large pulsing lights underside&#44 white to red&#44 following path along the Atlantic coastline.,10/30/2006,43.161748,-70.648258,white
379,10/11/2006 11:29,lynnwood,wa,us,unknown,120,a few minutes,I noticed a very white tail behind an object traveling north in the southern sky. It appeared to be very high and far away. The object,10/30/2006,47.8211111,-122.3138889,white
382,10/11/2006 20:45,pensacola,fl,us,diamond,3600,1 hour,Six orange glowing diamond shaped objects in two separate clusters due east of Pensacola,10/30/2006,30.4211111,-87.2169444,orange
393,10/11/2007 19:50,seattle,wa,us,triangle,10,10 seconds,I saw two orange colored lights&#44 close together but moving independently across the sky&#44 at high rate of speed. Then they disappeared.,11/28/2007,47.6063889,-122.3308333,orange
394,10/11/2007 20:15,tega cay,sc,us,light,1800,30 minutes,Bright white light and then 2 blinking red lights in Western Sky,11/28/2007,35.0241667,-81.0280556,white
401,10/11/2008 17:30,bellmere (australia),,,cylinder,240,4 minutes,Very large long white cylinder object traveling high up and smoothly above storm clouds.,1/10/2009,-27.088079,152.928057,white
413,10/11/2009 04:45,st. john&#39s (canada),nf,ca,flash,5,>5 seconds,Bending streak of white light over suburban area.,12/12/2009,47.55,-52.666667,white
420,10/11/2009 21:55,madison,wi,us,light,180,3 minutes,Amber orange light moving very slowly&#44 dimming out&#44 shooting away.,12/12/2009,43.0730556,-89.4011111,orange
426,10/11/2010 19:40,cottage grove,mn,us,light,240,3-4 minutes,Craft with two white lights in Minneapolis Approach Pattern that moved down and not forward then disappered behind the tree line.,11/21/2010,44.8277778,-92.9436111,white
435,10/11/2011 19:42,new bedford,ma,us,circle,1800,30-minutes,At least 25 orange and red fireballs fly over New Bedford&#44 MA&#44 USA,12/12/2011,41.6361111,-70.9347222,orange
437,10/11/2011 21:10,holden beach,nc,us,circle,30,30 seconds,6 orange balls of light over the Atlantic ocean.,10/19/2011,33.9133333,-78.3041667,orange
439,10/11/2012 01:00,worcester,ma,us,unknown,4,4 seconds,Big extremely bright white light hovering in sky,10/30/2012,42.2625000,-71.8027778,white
440,10/11/2012 02:45,watchung (was my perspective),nj,us,sphere,3600,1 hour about,Orange sphere moving in unbeliveable ways&#44&#44&#44another green spehere near by with rays emerging form it.  Bizarre,10/30/2012,40.6377778,-74.4513889,green
441,10/11/2012 04:00,tewksbury,ma,us,light,2,2 seconds,Huge white streaking object moving high rate of speeds in night sky,10/30/2012,42.6105556,-71.2347222,white
452,10/11/2012 22:15,blue island,il,us,circle,45,45 seconds,Red circular object surrounded by yellow glow flying w/no sound quickly coming out of east turning southbound,10/30/2012,41.6572222,-87.68,yellow
453,10/11/2013 01:00,saginaw,mi,us,chevron,4,4 seconds,10 or so dimly lit white lights in a large arrow shape formation moving at high rate of speed.,10/14/2013,43.4194444,-83.9508333,white
456,10/11/2013 09:05,palm beach gardens,fl,us,light,15,10-15 seconds,Five orange flying objects in the nights sky and no sound.,10/14/2013,26.8230556,-80.1388889,orange
457,10/11/2013 16:01,pickering (canada),on,ca,circle,300,5 minutes,Glowing blue sphere in Ontario&#44 Canada.,1/30/2014,43.866667,-79.033333,blue
459,10/11/2013 19:00,lawrence,ks,us,unknown,240,2-4 minutes,Silent blue and white lights of craft object change color&#44 approach myself and boyfriend&#44 before changing into buzzing&#44 everyday plane,10/14/2013,38.9716667,-95.235,blue
468,10/11/2013 20:20,hubbardston,ma,us,fireball,60,1 minute,4 orange orbs zig zgging across the sky.  Quick movements forward and aft and side to side.,10/14/2013,42.4736111,-72.0066667,orange
470,10/11/2013 21:00,drexel,oh,us,sphere,180,3 minutes,Blue white streak in sky&#44 2 orange orbs splitting. seems like it landed.,10/14/2013,39.7463889,-84.2866667,white
472,10/11/2013 22:00,jupiter,fl,us,light,900,15 minutes,Groups of glowing orange objects moving randomly from east to west over Jupiter Inlet area at approximately 10:00 pm Oct 11&#44 2013.,10/14/2013,26.9338889,-80.0944444,orange
475,10/11/2013 22:10,lombard,il,us,formation,60,1 minute,5-8 orange lights over suburban Chicago,10/14/2013,41.8800000,-88.0077778,orange
476,10/11/2013 22:18,windsor (canada),on,ca,light,300,3-5 minutes,5 orange lights seen in sky over windsor.,10/14/2013,45.583333,-72.0,orange
478,10/11/2013 23:15,pinckney,mi,us,fireball,2,2 seconds,Large orange fireball observed over Hell&#44 Michigan&#44 traveling from due south to due north directly overhead.,10/14/2013,42.4566667,-83.9463889,orange
489,10/1/1961 03:00,toledo,oh,us,sphere,180,2-3 mins.,Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere.,11/19/1998,41.6638889,-83.5552778,silver
492,10/1/1961 22:00,graham,nc,us,triangle,30,30 seconds,3 flat&#44 large  white lights in delta pattern&#44 no sound&#44 flying at tree-top level at 35-40 mph,5/14/2002,36.0688889,-79.4008333,white
494,10/1/1965 14:00,colonial heights,va,us,sphere,120,2 minutes,Saw sphere ping-ponging up and down and side to side in blue sky.,4/1/2000,37.2438889,-77.4105556,blue
503,10/1/1967 19:00,hudson&#39s hope (canada),bc,,sphere,120,2 minutes,Large round silver UFO in Peace River Valley 1966-67,2/18/2001,56.031639,-121.905722,silver
505,10/1/1968 00:00,boston,ma,us,cigar,1200,20 minutes,as i woke up in the early morning a bright redish orange light bathed the living room&#44at first i thought it was a fire but the light wa,12/16/2005,42.3583333,-71.0602778,orange
509,10/1/1970 01:00,kingston (canada),on,ca,sphere,180,3 minutes,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,10/11/2005,44.233333,-76.483333,green
524,10/1/1973 20:00,bloomington,in,us,light,1200,20 minutes,Three large bright white craft  interacting &amp; manuevering rapidly accross a quadrant of night sky.,7/3/2013,39.1652778,-86.5263889,white
526,10/1/1973 21:00,roseburg,or,us,cylinder,7200,not sure&#44maybe 2 hours,We were on the outskirts of town&#44 just passing the sewage treatment plant&#44 when this object with blinding white light enveloped the car,8/12/2008,43.2166667,-123.3405556,white
528,10/1/1973 21:30,hixson,tn,us,oval,37800,1 1/2 hours,Oval&#44 brilliant lights&#44 red glow&#44 windows&#44 metallic&#44 no sound; After we lost sight of it and went to find it&#44 it showed itself to us.,4/16/2005,35.1405556,-85.2327778,red
530,10/1/1974 01:00,denton,tx,us,unknown,600,10 min,I was walking home from the Library at North Texas State University after the Library closed.  From a distance&#44 I saw a large red glowi,6/12/2008,33.2147222,-97.1327778,red
541,10/1/1977 19:00,fountain valley,ca,us,other,360,6 minutes,My brother&#44 his friend and I saw an orange pyramid-shaped object in the sky about 25 yards away from us and about 25 yards up.  We were,8/30/1999,33.7091667,-117.9527778,orange
547,10/1/1979 19:00,columbia,md,us,rectangle,120,2 minutes,Large&#44 low-flying&#44 slow moving&#44 silent black rectangle with no lights,2/4/2013,39.2402778,-76.8397222,black
556,10/1/1981 20:00,hesperia,mi,us,oval,2400,40 minutes,Two people in car see green oval object and lost time,1/10/2009,43.5688889,-86.0394444,green
565,10/1/1984 21:00,acton,me,us,triangle,180,3 min.,Silent&#44 very large&#44 one white headlight&#44 red lights around edges,4/2/1999,43.5341667,-70.9102778,white
573,10/1/1986 22:00,n. ridgeville,oh,,triangle,300,5 minutes,Black triangular craft with green lights hovering over the tree tops,12/16/2005,41.389491,-82.019032,green
576,10/1/1987 19:00,victoria (canada),bc,ca,sphere,900,15mins,Large red and orange sphere&#44 balanced on a rock in 1987.,10/30/2006,46.216667,-63.483333,red
577,10/1/1987 20:00,roseburg (7 miles northwest of),or,us,oval,1800,30 mins.,Two small glowing oval orange objects and one larger triangle craft in rural Oregon.,10/31/2008,43.2166667,-123.3405556,orange
579,10/1/1987 23:00,louisburg,nc,us,triangle,180,3 minutes,Large black triangular object with lights on each side and at the points making no discernible noise.,8/5/2001,36.0988889,-78.3013889,black
581,10/1/1989 18:00,winchester (near),ky,us,oval,300,5 minutes,3 starlike objects land on 1 large orange oval object in full daylight in sight of dozens of witnesses.,3/11/2006,37.9900000,-84.1797222,orange
593,10/1/1991 20:30,mckenzie,tn,us,disk,900,15 minutes,I saw a saucer shaped obiect with blue&#44 red&#44 green flashing lights on the way home from college.,3/31/2008,36.1325000,-88.5186111,green
603,10/1/1994 11:30,pawnee,ok,us,triangle,1200,20 min,It was triangle shape with white lights at each corner of it and a large red one in the middle.,4/26/1999,36.3377778,-96.8036111,white
605,10/1/1994 17:00,tylertown/mccomb (between; on hwy. 98 ),ms,,changing,1200,20 minutes,orange molten-metal&#44 crescent-shaped object paralleling car for 15 - 20 minutes,6/12/2008,31.243787,-90.453153,orange
609,10/1/1994 23:00,las vegas,nv,us,circle,5,5 seconds,Bright green object in flight allmost colided with my aircraft.,10/15/2002,36.1750000,-115.1363889,green
612,10/1/1995 14:00,lake oswego,or,us,,5,5 sec.,Man reports brief sighting of peculiar white object in daytime sky.  (See later sighting on same day.),11/2/1999,45.4208333,-122.6694444,white
617,10/1/1995 22:00,tinley park,il,us,other,20,20 seconds,Sheild shaped craft spotted at outdoor concert with orange glow&#44 moivng at high speed.,3/11/2003,41.5733333,-87.7844444,orange
627,10/1/1996 22:30,the woodlands,tx,us,fireball,180,2-3 minutes,2 orange fireballs moving across sky ~ crazy acrobatics,12/12/2011,30.1577778,-95.4891667,orange
630,10/1/1997 03:00,jefferson,ny,us,other,300,05 minutes,Rural mountain area. Tree covered hill. 1860&#39 MSL. I awoke to see a bright white light approx 1&#44500&#39 so east of my camper. The circular,10/2/1999,42.4811111,-74.6108333,white
633,10/1/1997 19:00,green bay,wi,us,light,1200,15-20 minutes,Three red lights,4/14/2009,44.5191667,-88.0197222,red
648,10/1/1998 13:30,elgin,il,us,disk,1200,20 minutes,I can only say that I know what I saw&#44  I even took a digital picture of it.  1:30 in the afternoon&#44  clear blue sky&#44  an airplane head,10/19/1999,42.0372222,-88.2811111,blue
654,10/1/1998 21:02,mt sterling,il,,formation,900,15 minutes,3 orange fireballs in triangle formation - 1 triangle shaped craft without sound.,11/1/1998,39.987271,-90.763463,orange
676,10/1/2000 20:00,prineville,or,us,unknown,3600,1 hour,bright white light the size of a distant star that made eratic movements&#44 and complete stops,12/20/2000,44.3000000,-120.8333333,white
681,10/1/2000 21:30,maryville,mo,us,light,30,about-30sec,white disappearing lights,12/2/2000,40.3461111,-94.8722222,white
684,10/1/2000 23:15,jones beach,ny,us,diamond,900,15 minutes,2 objects over jones beach NY&#44 sent Red beam then blue beam on our car.,12/2/2000,42.9047222,-76.3944444,blue
689,10/1/2001 21:00,interstate 5 or tributary between vasilia and sacrammento,ca,,triangle,300,5 minutes,black triangle &#44 3 lights&#44 silent swift movement&#44 near air force base,1/31/2004,36.778261,-119.417932,black
690,10/1/2001 21:00,lafayette,ny,us,changing,180,3 minutes,Low flying object changed from bright blue square to red diamond shape...loud ..then silence and it was gone.,10/12/2001,42.8922222,-76.1055556,blue
697,10/1/2002 05:30,everson,wa,us,other,5,4-5 seconds,Among the Northern lights a bright green fireball from West to East,10/15/2002,48.9202778,-122.3413889,green
699,10/1/2002 05:30,snohomish,wa,us,sphere,3,2-3 seconds,A large metor going through the atmosphere&#44 white tail turning blue and then red/orange and disapear.,10/15/2002,47.9130556,-122.0969444,white
700,10/1/2002 05:30,sumner,wa,us,circle,330,05:30,While traveling north on hwy 167. A green light traveling from the west&#44 and heading east flew across the sky. The round light appearin,10/15/2002,47.2033333,-122.2391667,green
701,10/1/2002 05:35,pueblo,co,us,triangle,15,10-15seconds,Silent large flying v of 5 orange glowing patches gives fright.,10/15/2002,38.2544444,-104.6086111,orange
704,10/1/2002 05:43,seattle,wa,us,other,2,2 seconds,I saw a green object above Seattle&#44 at about 5:45 AM on 10/1&#44 occuring at the time of a northern lights display.,10/15/2002,47.6063889,-122.3308333,green
710,10/1/2002 07:30,kingston,ny,us,cigar,600,10 mins,nys thruway heading nrth between exit 19 and 20 cigar shaped &#44reflective or silver in color &#44 incredable fast no sound .,3/4/2008,41.9269444,-73.9977778,silver
719,10/1/2002 19:50,new york city (staten island),ny,us,light,900,15 min&#39s,Patrolling fighter jet followed by bright green light &#33,10/15/2002,40.7141667,-74.0063889,green
722,10/1/2002 22:30,riverton,ut,us,unknown,120,2 minutes,Red and blue flashing lights&#44 low to the ground&#44 behind my car on a deserted road in Riverton&#44 Utah.,8/7/2007,40.5219444,-111.9383333,blue
724,10/1/2003 00:00,saco,me,us,circle,120,2 minutes,My wife and I watched a stationary bright white star much larger than a planet hover above the Ocean for about 2 minutes&#44 and then it d,10/7/2003,43.5008333,-70.4433333,white
735,10/1/2003 22:30,quesnel (canada),bc,ca,other,120,1 1/2 minutes,HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color.,10/15/2003,52.983333,-122.483333,red
736,10/1/2003 22:40,slocan park (canada),bc,,light,2,few seconds,HBCCUFO CANADIAN REPORT:  A glowing white ball dropped from the sky.,10/7/2003,49.51397,-117.618387,white
737,10/1/2003 23:00,circleville,oh,us,light,600,5-10 min.,Bright orange lights go on&#44 and off in Circlville&#44 OH.,1/17/2004,39.6005556,-82.9461111,orange
741,10/1/2004 20:27,richmond,va,us,triangle,300,5 minutes,Two triangular shaped craft with white and red lights going Northeast.,12/3/2004,37.5536111,-77.4605556,white
